year,month,day,final_six_figure_odds,one_move_1_num,one_move_2_num,one_move_3_num,one_move_4_num,one_move_5_num,one_move_6_num,one_move_7_num,two_move_1_num,two_move_2_num,two_move_3_num,two_move_4_num,two_move_5_num,two_move_6_num,two_move_7_num
2020,31,7,553407,2,10,45,16,15,33,41,14,31,40,44,7,20,15
2020,2,8,385457,14,21,16,8,32,46,7,42,46,39,18,26,21,8
2020,26,7,905990,49,38,41,34,5,31,20,1,31,18,9,22,44,11
2020,5,8,461755,42,23,33,24,34,26,1,21,22,33,20,30,46,10
2020,16,8,150590,6,19,24,49,36,21,17,30,34,17,21,48,3,29
2020,14,8,597462,41,2,32,30,23,47,48,28,34,31,14,35,26,6
2020,9,8,987401,36,4,45,47,42,38,40,38,36,12,42,47,44,3
2020,29,7,777,7,31,10,11,45,16,5,20,19,14,41,2,27,45
2020,26,8,51434,32,2,26,14,25,4,3,35,48,47,46,27,15,41
2020,23,8,472658,49,13,29,44,14,48,37,12,16,42,43,36,1,14
2020,12,8,385674,5,46,41,13,6,1,34,39,3,23,12,48,40,31
2020,30,8,478438,26,27,28,32,5,45,8,22,36,39,33,5,10,31
2020,2,9,180880,41,1,36,20,11,16,24,42,45,21,43,20,24,25
2020,19,8,814365,8,24,37,17,30,34,49,44,29,14,21,38,16,36
2020,6,9,125966,28,9,35,24,7,3,39,41,20,26,31,42,29,28
2020,9,9,744945,40,43,24,35,26,25,47,21,22,42,12,17,19,47
2020,13,9,720779,21,31,19,28,8,11,43,44,46,8,49,10,3,1
2020,16,9,150375,34,44,9,11,21,31,49,24,38,44,23,13,17,10
2020,20,9,273701,43,34,4,22,26,49,7,7,36,19,26,13,35,29
2020,23,9,123606,34,23,43,31,25,13,47,4,9,29,20,1,30,42
2020,30,9,947856,43,19,49,20,25,48,21,42,39,16,35,10,48,21
2020,4,10,359095,7,42,20,34,25,26,11,10,27,48,44,35,9,23
2020,7,10,460577,6,27,40,5,25,37,48,45,28,44,31,49,5,36
2020,11,9,577109,43,16,17,44,45,46,37,29,49,5,37,1,40,48
2020,27,9,875782,35,39,31,22,11,32,26,31,7,39,32,12,19,23
2020,9,10,368462,39,17,27,22,20,16,28,8,32,15,12,23,37,17
2020,23,10,483003,30,24,11,32,46,16,5,42,45,7,48,33,35,23
2020,14,10,520219,21,42,7,22,47,13,34,12,44,9,14,10,31,45
2020,28,10,37717,23,39,1,20,47,2,37,42,15,16,22,40,20,35
2020,18,10,681584,8,39,19,34,22,10,45,3,48,1,18,24,35,21
2020,25,10,493955,15,30,28,44,18,31,12,12,11,4,49,26,38,27
2020,16,10,730852,39,17,4,38,18,31,11,17,41,27,48,37,22,25
2020,21,10,608218,43,20,32,8,16,38,26,26,49,41,3,43,45,16
2020,11,10,333434,30,41,5,48,12,10,27,22,17,11,27,41,32,31
2020,11,11,169264,3,21,16,15,26,30,49,35,11,9,41,49,27,29
2020,4,11,619880,49,17,27,36,26,32,43,2,37,27,14,25,28,30
2020,1,11,405623,48,6,7,28,31,44,34,1,28,23,10,30,13,36
2020,6,11,783673,28,19,12,47,20,49,41,13,45,22,29,14,19,15
2020,8,11,353412,46,21,20,37,36,30,4,34,32,25,13,17,28,10
2020,30,10,140289,5,49,20,8,4,10,32,33,16,31,3,47,5,8
2020,18,11,607734,42,43,14,38,37,24,15,20,15,11,6,22,13,16
2020,13,12,352712,17,3,27,13,14,25,1,42,44,11,38,26,17,23
2020,18,12,809154,30,27,42,15,32,45,43,32,17,29,26,19,20,4
2020,9,12,907403,26,6,42,4,5,40,22,11,40,13,31,14,47,2
2020,16,12,804854,28,3,18,33,2,6,47,46,42,25,34,38,9,28
2020,15,11,407507,33,21,41,27,18,3,24,7,14,4,39,32,47,19
2020,13,11,320427,4,46,20,23,34,44,6,27,12,7,41,15,22,6
2020,27,12,839743,18,47,41,30,5,25,3,31,16,42,40,35,39,8
2020,24,12,322916,22,30,12,8,7,35,42,18,27,1,22,3,5,21
2020,30,12,289278,5,25,19,15,47,34,35,14,22,7,4,12,30,36
2020,11,12,123453,28,2,33,26,9,37,22,40,42,3,37,21,34,24
2021,6,1,930868,23,28,22,47,43,34,5,8,49,30,17,28,41,3
2021,10,1,49827,21,33,11,37,28,49,38,27,24,39,32,49,46,12
2021,13,1,641070,8,3,11,49,7,33,26,37,28,33,22,8,9,10
2021,15,1,971511,29,33,21,49,11,7,9,28,48,32,43,26,2,38
2021,17,1,293453,12,36,28,24,20,1,34,36,17,19,33,47,41,25
2020,23,12,214999,35,44,16,25,2,37,23,6,31,22,12,46,15,24
2020,25,12,199330,10,2,27,12,16,29,36,39,33,46,7,13,32,17
2020,20,12,449256,16,42,39,5,29,3,23,43,8,37,34,41,23,38
2021,24,1,46041,45,8,2,22,39,46,23,23,20,12,6,44,17,43
2021,22,1,364897,39,29,17,15,31,14,33,5,47,6,20,3,7,39
2021,8,1,483152,28,4,19,41,16,30,26,32,1,16,2,25,24,14
2021,27,1,201927,34,18,37,16,31,6,9,47,26,42,1,29,37,20
2021,29,1,619911,33,30,27,17,34,9,40,44,40,49,17,10,6,28
2021,31,1,651716,25,26,5,29,37,34,18,36,37,10,13,28,14,11
2021,3,2,94400,42,3,13,18,33,49,27,19,34,47,33,29,5,44
2021,5,2,564256,12,25,40,3,22,18,20,8,6,2,4,15,18,20
2021,7,2,206707,12,18,21,20,33,13,49,45,22,6,10,40,43,13
2021,10,2,346473,8,31,11,20,38,5,42,30,35,7,33,6,43,48
2021,20,1,506717,21,37,33,27,22,35,10,4,25,46,26,31,23,38
2021,12,2,250065,48,14,26,23,25,13,18,49,11,26,30,1,29,34
2021,19,2,775329,15,3,35,25,12,27,22,19,2,38,15,27,8,9
2021,14,2,202170,44,47,27,4,36,6,26,1,49,21,13,8,22,43
2021,17,2,203233,35,46,29,5,18,1,12,26,21,18,28,44,23,12
2021,26,2,862239,12,30,35,11,36,39,48,1,10,30,13,40,36,37
2021,21,2,417359,46,9,17,12,7,13,29,45,29,48,46,22,1,8
2021,28,2,192752,38,23,5,7,46,34,29,34,23,6,3,22,26,12
2021,7,3,441298,17,5,47,42,8,48,1,18,9,1,40,34,39,25
2021,5,3,691868,26,14,20,12,46,30,3,7,33,16,45,18,27,39
2021,10,3,249706,45,44,21,1,4,14,38,42,29,27,16,31,32,30
2021,14,3,713419,32,42,34,10,20,44,21,18,49,42,21,27,26,20
2021,12,3,963369,12,43,4,26,6,48,18,19,4,1,27,48,12,25
2021,17,3,563286,27,22,49,6,29,18,7,9,10,22,28,23,40,11
2021,24,2,987639,23,37,34,16,43,48,1,4,12,19,49,33,36,37
2021,3,3,441669,31,17,30,24,23,14,47,39,6,29,16,27,33,40
2021,19,3,553680,38,23,3,48,25,13,15,37,23,46,34,15,20,45
2021,28,3,632635,26,11,1,49,44,20,47,13,1,23,47,24,42,8
2021,21,3,893343,44,25,2,7,49,34,48,42,14,24,21,30,29,5
2021,31,3,91915,18,48,6,43,32,4,44,31,34,11,18,33,20,22
2021,24,3,211085,14,8,4,13,31,11,12,18,19,49,15,45,43,44
2021,2,4,746472,5,49,21,12,2,45,27,33,42,19,13,31,25,9
2021,7,4,52345,31,39,44,24,42,40,9,12,3,49,42,37,5,7
2021,9,4,204849,6,36,38,46,30,31,37,13,31,28,16,5,37,33
2021,26,3,509044,25,47,29,39,37,28,32,16,14,48,36,31,5,24
2021,11,4,688943,17,3,37,16,10,4,30,5,28,2,29,36,7,25
2021,4,4,652377,3,33,12,16,5,20,32,30,39,45,18,22,32,20
2021,14,4,704591,31,10,35,22,16,36,45,33,40,24,35,47,39,21
2021,9,5,296713,31,45,46,23,10,6,44,41,48,19,34,18,45,15
2021,7,5,994682,24,11,22,34,5,14,9,31,18,49,34,21,36,14
2021,23,5,390066,27,16,1,38,43,20,30,11,2,39,4,19,34,24
2021,26,5,389659,25,1,28,23,21,3,17,1,20,16,36,29,31,25
2021,16,5,302143,10,38,31,18,21,47,19,22,25,9,42,23,4,28
2021,28,5,722210,6,18,11,5,45,20,7,16,27,30,26,43,7,32
2021,6,6,796264,15,21,34,36,5,6,24,35,20,29,12,43,40,2
2021,12,5,417758,21,32,7,45,30,4,27,33,44,21,5,11,16,19
2021,14,5,544162,49,15,30,41,29,8,3,45,13,32,12,49,1,14
2021,9,6,897362,22,27,18,12,32,17,36,35,37,28,9,26,2,6
2021,2,6,950152,37,49,11,2,6,12,41,33,4,14,2,23,26,35
2021,21,5,318553,41,4,17,7,19,45,40,43,36,37,12,25,1,14
2021,30,5,412089,38,25,9,21,43,27,17,16,22,43,25,34,47,30
2021,4,6,631528,11,8,12,1,38,31,19,31,30,13,41,14,49,16
2021,20,6,885909,14,38,4,19,18,37,35,30,33,3,17,9,4,23
2021,13,6,176142,29,3,49,2,27,9,22,27,31,36,22,42,9,4
2021,23,6,825175,16,39,20,46,26,35,9,1,7,13,21,32,41,18
2021,16,6,24957,18,17,15,21,45,1,40,2,49,14,6,9,43,29
2021,18,6,220162,32,6,31,40,8,35,22,31,23,18,49,36,48,40
2021,11,6,367659,18,12,44,9,7,38,25,28,10,36,20,42,19,35
2021,25,6,716598,32,3,29,30,26,15,42,39,5,27,13,35,40,28
2021,4,7,62409,47,1,2,38,34,3,6,8,34,31,7,49,48,39
2021,30,6,373010,30,49,37,14,42,45,7,31,18,33,48,30,37,45
2021,27,6,364066,26,43,47,29,28,4,16,38,35,28,49,43,39,46
2021,2,7,781570,7,30,35,18,36,23,14,41,13,34,44,27,20,46
2021,11,7,410198,34,28,47,26,8,17,38,26,8,28,40,34,11,7
2021,14,7,259669,27,45,17,14,6,34,2,13,28,42,41,7,25,37
2021,7,7,40945,47,23,41,10,6,26,25,16,19,10,3,8,42,13
2021,23,7,248456,11,30,17,2,28,48,1,6,32,47,10,14,9,5
2021,16,7,308807,17,2,45,5,40,3,13,9,11,8,7,39,12,13
2021,28,7,108588,38,4,40,41,35,46,14,36,46,47,43,33,39,10
2021,25,7,383541,23,15,1,20,16,42,32,33,24,6,37,9,11,22
2021,21,7,369505,25,19,40,27,29,41,22,33,18,30,4,3,5,28
2021,30,7,732879,12,24,31,17,22,47,26,7,41,32,11,5,20,37
2021,9,7,175725,8,25,12,22,4,36,10,32,43,35,49,38,14,6
2021,13,8,328375,35,8,40,26,4,3,47,28,23,29,38,5,14,47
2021,1,8,775148,36,41,22,38,3,21,40,34,20,4,42,16,46,14
2021,11,8,288092,45,17,10,39,33,38,46,32,30,3,47,39,13,5
2021,6,8,1550,32,22,31,15,10,33,36,23,48,13,31,47,27,14
2021,4,8,925458,29,26,30,35,42,11,14,9,43,47,11,30,33,42
2021,18,7,399012,45,19,23,6,33,20,24,1,8,44,3,6,40,19
2021,15,8,971737,38,17,25,34,22,24,49,12,2,23,6,17,5,47
2021,18,8,8712,31,13,28,42,35,23,24,15,48,19,47,42,6,9
2021,25,8,567188,12,3,49,28,29,36,31,37,12,6,17,15,8,34
2021,1,9,323949,8,32,15,37,46,2,6,39,41,15,48,7,26,34
2021,8,8,188355,13,21,42,48,35,22,5,17,40,14,29,38,43,34
2021,22,8,839969,16,29,1,2,18,39,13,19,35,20,12,45,3,29
2021,29,8,635109,29,28,8,7,22,6,10,12,1,33,11,42,34,40
2021,27,8,923416,30,15,47,28,11,18,26,14,34,19,26,8,12,45
2021,20,8,989092,19,10,30,22,40,6,28,44,7,21,41,43,6,34
2021,8,9,16090,9,29,30,23,45,34,25,29,46,34,13,28,27,17
2021,10,9,712779,8,29,33,38,3,44,19,29,43,33,2,25,44,3
2021,15,9,92300,13,16,36,5,39,23,9,1,18,47,10,8,30,29
2021,12,9,826684,47,8,2,6,40,3,26,19,47,40,8,32,46,45
2021,22,9,73681,1,28,15,26,10,13,44,17,37,35,40,10,49,30
2021,24,9,458755,35,48,22,43,16,37,28,40,8,6,27,36,37,35
2021,17,9,522466,41,22,20,6,2,13,40,38,46,35,14,45,17,25
2021,19,9,658768,44,25,2,42,35,43,10,13,20,28,9,27,17,40
2021,26,9,214218,21,24,34,11,9,8,4,32,7,41,3,13,1,12
2021,3,9,603252,28,27,18,12,9,6,47,2,39,30,26,31,27,36
2021,1,10,270595,10,30,14,22,36,45,24,33,7,10,2,18,27,11
2021,5,9,201462,12,37,5,6,29,14,25,23,38,30,33,24,5,28
2021,3,10,895980,27,2,38,15,34,36,7,41,23,4,32,13,25,21
2021,6,10,619995,29,26,16,13,33,35,41,42,30,1,8,37,46,28
2021,10,10,480722,24,20,23,15,29,2,46,40,24,48,23,1,4,49
2021,17,10,108968,14,28,29,44,48,27,6,47,43,10,2,17,12,37
2021,29,9,671612,21,31,26,10,30,25,32,48,2,3,25,45,35,40
2021,8,10,494899,13,9,28,16,27,43,38,44,31,29,27,32,21,23
2021,13,10,983385,18,7,21,10,12,23,48,3,40,11,48,22,27,35
2021,20,10,201795,25,4,49,6,32,7,10,29,42,25,46,16,6,8
2021,22,10,202674,34,41,12,42,32,18,39,26,35,45,3,38,34,29
2021,29,10,627859,14,10,37,34,24,32,7,4,45,17,1,49,8,47
2021,27,10,328959,45,14,36,49,41,26,48,22,2,39,41,38,45,14
2021,24,10,223865,29,47,27,41,2,5,21,13,16,37,34,35,38,32
2021,3,11,986040,32,37,1,26,49,42,29,45,33,34,12,43,28,38
2021,31,10,502654,15,49,9,45,39,19,36,20,29,49,8,46,27,41
2021,15,10,129283,27,22,30,43,29,14,6,6,41,11,27,16,19,4
2021,5,11,871423,15,41,18,26,30,38,32,2,48,5,35,13,47,22
2021,7,11,97259,17,8,41,23,3,6,15,17,47,1,32,27,34,18
2021,10,11,700632,43,37,26,2,18,5,19,12,27,11,19,5,45,43
2021,12,11,707198,35,33,49,28,13,21,14,45,23,25,14,9,2,42
2021,19,11,527940,8,41,42,16,40,2,33,49,32,27,19,1,9,35
2021,17,11,683479,30,13,36,47,14,48,41,1,14,45,42,20,8,32
2021,26,11,254989,33,46,7,17,14,15,44,39,25,20,26,31,3,36
2021,21,11,72273,16,20,13,28,7,42,38,21,48,22,5,3,12,32
2021,1,12,220694,28,12,33,2,37,5,26,9,45,41,28,38,4,20
2021,28,11,20191,19,48,1,31,49,44,16,44,43,36,25,45,8,39
2021,14,11,81162,2,38,6,47,36,26,8,37,5,7,44,19,29,1
2021,3,12,823672,12,7,30,34,25,46,23,10,27,30,18,31,25,1
2021,5,12,912706,27,16,35,19,13,39,5,33,12,4,25,7,30,48
2021,8,12,96348,46,11,24,49,8,41,7,45,28,31,47,39,30,1
2021,10,12,615448,49,30,2,11,14,39,8,23,21,46,28,12,6,41
2021,24,11,521636,45,33,32,38,16,37,34,14,2,40,39,30,27,15
2021,12,12,808981,8,2,45,3,28,14,1,34,48,26,29,42,20,18
2021,15,12,967723,45,10,22,33,11,16,18,34,14,2,21,28,40,15
2021,17,12,828536,43,48,41,38,4,45,27,41,42,34,33,23,26,46
2021,19,12,154951,6,15,13,48,30,14,35,21,20,42,38,28,6,9
2021,22,12,683339,10,15,20,36,38,13,39,40,29,23,33,26,32,20
2021,26,12,724479,13,7,37,45,39,27,42,25,22,21,30,47,38,11
2021,29,12,185669,25,26,45,49,6,1,7,28,49,10,36,6,7,32
2022,5,1,675608,42,22,10,27,14,26,9,38,33,2,47,41,16,31
2022,2,1,270179,40,14,37,15,12,22,29,22,17,29,18,23,5,32
2022,12,1,874154,21,9,29,28,3,41,10,20,14,23,40,18,10,17
2022,14,1,980476,1,13,5,20,2,37,47,43,34,45,32,2,12,6
2021,31,12,342318,8,17,1,31,16,36,42,21,24,25,34,20,3,14
2021,24,12,842281,22,19,42,13,47,38,15,27,32,12,15,6,33,7
2022,16,1,848627,3,6,10,34,15,41,2,41,6,18,17,5,43,48
2022,21,1,976158,20,26,33,8,28,45,18,18,26,40,12,4,29,8
2022,23,1,124638,1,35,31,45,4,7,28,48,33,41,12,10,4,36
2022,7,1,378541,25,47,21,46,40,41,48,23,38,31,20,39,33,16
2022,9,1,517347,29,38,33,42,19,37,21,17,11,4,25,8,24,22
2022,4,2,494579,30,12,41,19,21,27,9,19,4,3,1,31,45,21
2022,30,1,681967,35,33,39,46,22,36,13,16,24,44,18,6,2,46
2022,26,1,94404,23,21,15,9,25,46,6,17,27,38,42,47,40,21
2022,28,1,763988,16,34,2,38,29,39,27,42,12,39,6,46,4,26
2022,9,2,200444,36,1,38,44,11,20,19,23,29,47,10,4,49,25
2022,6,2,693347,18,46,41,42,16,10,27,29,5,6,49,37,48,4
2022,19,1,639,47,5,44,19,34,42,11,18,14,35,17,23,9,22
2022,11,2,887599,45,14,31,27,13,8,23,23,8,21,14,4,27,15
2022,13,2,435065,8,45,13,43,35,26,39,11,46,40,19,20,16,32
2022,16,2,400227,8,39,15,18,48,3,20,15,33,1,30,21,11,16
2022,18,2,957404,31,17,5,22,4,10,44,36,16,5,42,20,35,37
2022,23,2,423342,41,10,46,42,2,1,47,7,41,48,34,12,49,3
2022,25,2,547716,18,34,40,23,6,4,27,16,3,22,13,14,47,35
2022,20,2,107053,22,9,37,25,19,48,28,42,34,49,16,19,12,40
2022,2,2,488621,10,26,21,11,45,32,7,11,26,21,13,25,35,44
2022,4,3,259827,27,43,4,37,32,47,21,27,14,16,17,45,33,48
2022,9,3,29878,8,17,40,43,37,13,31,8,13,21,45,24,2,40
2022,11,3,759441,17,13,16,24,19,15,8,27,39,12,31,49,36,29
2022,13,3,28969,48,2,42,7,11,30,23,36,28,9,15,38,46,2
2022,6,3,821684,10,29,38,23,37,8,13,42,30,15,38,48,47,29
2022,16,3,69786,10,22,7,21,30,46,11,11,20,37,15,8,34,22
2022,2,3,289242,35,36,9,29,30,17,43,41,6,46,23,32,26,16
2022,18,3,912103,40,6,20,8,21,44,19,27,34,13,11,25,4,23
2022,25,3,819906,26,35,46,20,37,38,19,21,23,49,34,4,10,27
2022,20,3,6602,44,20,26,12,32,34,1,23,6,45,32,38,26,42
2022,23,3,394914,8,36,43,14,10,24,38,43,21,27,34,40,42,29
2022,27,3,556789,44,7,47,40,27,35,38,37,24,36,27,14,47,10
2022,27,2,824114,34,41,14,11,25,47,31,45,19,44,46,14,49,1
2022,30,3,910964,33,3,32,1,41,27,20,12,25,23,44,37,35,27
2022,6,4,804205,14,45,13,16,10,29,25,23,9,38,27,14,2,24
2022,1,4,647080,49,39,28,22,43,30,25,7,27,41,18,11,22,29
2022,10,4,408377,28,37,6,30,45,27,17,20,10,18,17,15,21,48
2022,8,4,412443,24,1,45,29,13,37,42,27,22,6,8,15,40,13
2022,3,4,349606,44,10,19,34,18,47,4,49,39,26,28,37,44,43
2022,13,4,235151,46,2,18,19,26,14,6,13,31,38,33,48,40,5
2022,15,4,879837,20,4,34,19,11,27,38,25,41,27,37,48,31,19
2022,17,4,333761,18,13,27,2,1,28,42,30,14,9,28,40,17,47
2022,24,4,705278,46,49,22,40,19,6,37,31,2,3,24,40,44,12
2022,22,4,634525,26,44,5,46,39,37,32,47,45,27,21,23,2,12
2022,6,5,982454,11,7,20,48,5,29,6,43,1,18,29,38,4,34
2022,4,5,431103,4,47,45,11,37,27,35,31,13,29,4,45,40,35
2022,11,5,94161,38,15,27,39,40,26,2,38,27,39,8,12,19,10
2022,13,5,729963,46,29,1,21,16,41,11,1,47,14,6,26,35,11
2022,18,5,714562,44,3,19,31,23,26,7,45,12,11,37,43,47,29
2022,15,5,918137,32,3,30,28,4,27,13,12,29,1,9,49,27,39
2022,20,4,535073,7,11,23,30,34,5,47,18,3,32,42,14,43,44
2022,29,4,994715,31,30,33,20,10,19,5,15,9,24,4,46,25,20
2022,27,4,446677,4,5,14,38,21,22,30,22,8,10,35,38,24,49
2022,8,5,399291,26,30,6,16,38,49,32,36,45,10,25,39,40,5
2022,1,5,776343,43,49,48,7,16,26,10,21,12,36,15,29,46,33
2022,22,5,740749,42,44,1,7,43,32,18,26,48,11,27,36,24,32
2022,29,5,111295,34,3,33,39,2,1,5,6,44,46,26,36,10,48
2022,25,5,646863,5,47,32,30,2,14,36,3,1,36,13,6,22,25
2022,27,5,487072,42,11,29,20,37,31,17,5,39,8,13,42,47,28
2022,3,6,708419,16,18,4,30,12,33,29,11,45,7,17,4,39,6
2022,5,6,59149,26,17,30,47,10,39,20,21,46,18,7,12,33,40
2022,20,5,379122,13,29,39,20,14,10,3,16,13,20,8,11,3,28
2022,1,6,158415,10,3,16,44,4,18,38,22,30,47,35,19,13,46
2022,10,6,921499,28,40,3,38,19,21,36,49,28,20,15,40,19,4
2022,17,6,143175,13,39,17,6,21,30,44,34,16,23,42,10,36,12
2022,8,6,318745,5,30,37,10,39,3,4,4,14,49,11,25,16,41
2022,15,6,439828,46,9,39,6,24,35,33,48,7,37,31,9,24,4
2022,12,6,728512,42,20,7,18,39,22,29,10,2,23,42,28,46,24
2022,19,6,197031,48,12,15,34,16,8,24,32,37,23,48,29,46,3
2022,22,6,123884,9,8,14,6,4,11,1,37,32,7,43,31,15,11
2022,24,6,258375,8,16,41,49,14,39,1,25,31,30,43,34,4,27
2022,26,6,649915,24,31,22,43,17,2,45,31,20,5,38,46,49,15
2022,15,7,988032,31,38,49,19,3,44,8,49,19,30,37,23,33,5
2022,10,7,48735,42,16,43,23,34,18,17,39,41,16,22,33,40,35
2022,1,7,359255,25,39,48,49,36,35,47,30,7,17,16,24,4,31
2022,13,7,871355,8,14,9,5,24,13,36,13,12,4,11,5,7,19
2022,8,7,228130,39,24,11,16,46,13,19,48,49,27,28,14,43,16
2022,29,6,745529,18,48,5,32,24,38,31,30,21,44,10,12,36,38
2022,3,7,400163,25,15,47,17,3,26,38,45,27,19,41,18,26,24
2022,17,7,700800,15,23,18,22,21,5,32,13,40,22,39,35,41,25
2022,6,7,926463,7,35,3,11,41,1,18,1,20,14,25,45,11,26
2022,20,7,743006,45,8,18,11,17,39,46,9,6,15,14,47,22,19
2022,22,7,850997,23,1,31,49,35,44,6,46,13,27,12,49,45,28
2022,27,7,22502,15,20,49,19,34,37,17,38,29,2,23,45,12,16
2022,24,7,587366,8,28,43,20,17,4,48,4,40,23,2,32,48,3
2022,31,7,180739,28,35,22,18,12,13,10,40,32,33,39,41,31,15
2022,29,7,461829,2,14,24,19,13,20,18,29,7,49,9,3,42,28
2022,7,8,502363,35,39,45,3,43,18,24,8,15,31,4,5,24,28
2022,5,8,636721,45,33,35,5,27,13,6,9,43,16,19,1,40,36
2022,12,8,596313,4,30,21,8,40,5,47,48,49,32,7,1,16,46
2022,10,8,627141,32,15,49,38,5,42,46,47,12,33,42,15,8,9
2022,14,8,925776,34,26,38,40,23,48,49,11,19,25,6,42,14,12
2022,17,8,460855,33,22,30,42,44,15,7,10,16,18,40,1,44,19
2022,19,8,126097,7,46,11,23,2,21,9,6,7,30,21,18,36,39
2022,3,8,855540,45,18,22,37,38,41,23,36,32,49,5,35,18,33
2022,21,8,282352,8,7,47,28,34,25,40,36,20,41,48,28,31,29
2022,24,8,179695,32,20,36,9,4,1,43,36,22,21,32,35,34,18
2022,28,8,72344,18,2,9,15,23,45,48,40,22,16,26,47,35,44
